Address,Beds,Baths,Sqft,HOA(Month),Property Type,Style,Community,YearBuilt,Price
"221 Beach 80th St Unit 5H,",2,1,885,784,Condo,Mid-Rise,None,2005,"359,000"
"251 Seaman Ave Unit 5F,",2,2,None,"1,297",Condo (Co-op),Prewar,Inwood,1938,"649,000"
"416 W 52nd St #520,",1,1,820,756,Condo,Prewar,Hells Kitchen,1940,"1,180,000"
"225 Fifth Ave Ph -H,",3,3,"1,987","2,740",Condo,Prewar,NoMad,1907,"3,495,000"
"12 Agate Ct,",4,3.5,"2,720",None,Townhouse,Prewar,Stuyvesant Heights,1899,"1,700,000"
"264 W 22nd St #11,",1,1,None,"1,280",Condo (Co-op),Prewar,Chelsea,1920,"485,000"
"15 William St Unit 31-C,",1,1,832,984,Condo,Prewar,Financial District,2007,"1,300,000"
"555 W End Ave Unit TH-NORTH,",4,4.5,"4,372","4,119",Condo,Prewar,Upper West Side,1908,"10,850,000"
"Undisclosed Address,",6,6,"5,800",None,Townhouse,Prewar,Murray Hill,1850,"5,500,000"
"55 Wall St #713,",None,1,658,"1,230",Condo,Prewar,Financial District,1842,"675,000"
"3 Riverside Dr,",9,11.5,"19,251",None,Townhouse,Prewar,Upper West Side,1899,"12,995,000"
"310 Lexington Ave Unit 10-H,",None,1,None,"1,384",Condo (Co-op),None,Murray Hill,1956,"525,000"
"1135 Rogers Ave #1,",7,4,"2,760",None,Townhouse,None,Flatbush,1899,"998,000"
"555 W End Ave Unit 4-W,",4,4.5,"2,716","3,481",Condo,Prewar,Upper West Side,1908,"7,995,000"
"497 3rd St Ph,",3,3,"1,890","2,021",Condo,Prewar,Park Slope,1921,"3,099,000"
"425 W 50th St Unit 14-D,",1,2,"1,416","2,462",Condo,Prewar,Hells Kitchen,1927,"1,875,000"
"575 Park Ave #1401,",2,2,None,"6,735",Condo (Co-op),Prewar,Lenox Hill,1927,"999,000"
"150 W 26th St #202,",2,2.5,"1,800",859,Condo,Prewar,Chelsea,1923,"2,995,000"
"530 E 76th St Unit 34/35AB,",4,3.5,"2,930","5,433",Condo,None,Upper East Side,1986,"3,000,000"
"431 E 82nd St Unit 1-A,",None,1,None,599,Condo (Co-op),Prewar,Yorkville,1910,"280,000"
"100 Beekman St Unit 20-D,",2,1,None,932,Condo (Co-op),None,Financial District,1971,"1,495,000"
"144 Cambridge Pl,",4,5,"6,184",None,Townhouse,Prewar,Clinton Hill,1899,"1,895,000"
"302 E 96th St Ph -4,",3,3,"2,290","3,191",Condo,None,Yorkville,2012,"3,450,000"
"Undisclosed Address,",1,1.5,"1,037","1,575",Condo,None,Midtown Central,2014,"3,195,000"
